# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20121012
# -------------------------------------------------------

date,os_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120907,Android 3.2,0,21,0,35,16,0,0,0
20120907,Android 3.1,0,5,0,6,4,0,0,0
20120907,Android 3.0,0,0,0,1,0,0,0,0
20120907,Android 2.3.3 - 2.3.7,0,573,0,1304,548,1,1,0
20120907,0,0,0,0,178,0,0,0,0
20120906,Android 2.3,0,2,0,2,2,0,0,0
20120906,Android 2.2,0,106,0,300,99,0,0,0
20120906,Android 2.1,0,30,0,109,28,0,0,0
20120906,Android 4.1,0,80,0,105,77,0,0,0
20120906,Android 4.0.3 - 4.0.4,6,388,3,678,373,0,0,0
20120906,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120906,Android 3.2,0,21,0,35,16,0,0,0
20120906,Android 3.1,0,5,0,6,4,0,0,0
20120906,Android 3.0,0,0,0,1,0,0,0,0
20120906,Android 2.3.3 - 2.3.7,1,574,0,1304,549,1,0,0
20120906,0,0,0,0,178,0,0,0,0
20120905,Android 2.3,0,2,0,2,2,0,0,0
20120905,Android 2.2,0,106,0,300,99,0,0,0
20120905,Android 2.1,0,30,0,109,28,0,0,0
20120905,Android 4.1,2,80,0,105,76,0,0,0
20120905,Android 4.0.3 - 4.0.4,5,382,3,670,367,2,2,0
20120905,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120905,Android 3.2,0,21,0,35,16,0,0,0
20120905,Android 3.1,0,5,0,6,4,0,0,0
20120905,Android 3.0,0,0,0,1,0,0,0,0
20120905,Android 2.3.3 - 2.3.7,3,577,2,1313,554,1,1,0
20120905,0,0,0,0,174,0,0,0,0
20120904,Android 2.3,0,2,0,2,2,0,0,0
20120904,Android 2.2,0,106,0,301,99,0,0,0
20120904,Android 2.1,0,30,0,109,28,0,0,0
20120904,Android 4.1,0,80,0,105,77,0,0,0
20120904,Android 4.0.3 - 4.0.4,4,378,2,664,365,0,0,0
20120904,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120904,Android 3.2,0,21,0,35,16,0,0,0
20120904,Android 3.1,0,5,0,7,4,0,0,0
